English (en),Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,clean_name
civilization,0,0,0,0,0,0,0,1,civilization
civilized,0,0,0,0,1,0,0,1,civilize
clad,0,0,0,0,0,0,0,0,clad
claim,0,0,0,0,0,0,0,0,claim
claimant,1,0,1,0,0,0,0,0,claimant
clairvoyant,0,0,0,0,0,0,0,0,clairvoyant
clam,0,0,0,0,0,0,0,0,clam
clamor,1,1,1,0,0,0,1,0,clamor
clamp,0,0,0,0,0,0,0,0,clamp
clan,0,0,0,0,0,0,0,1,clan
clandestine,0,0,0,0,0,0,0,0,clandestine
clap,0,1,0,0,1,0,0,1,clap
clarify,0,0,0,0,0,0,0,0,clarify
clarinet,0,0,0,0,0,0,0,0,clarinet
clarion,0,0,0,0,0,0,0,0,clarion
clarity,0,0,0,0,0,0,0,0,clarity
clash,1,0,0,0,0,0,0,0,clash
clashing,1,0,0,1,0,0,0,0,clash
clasp,0,0,0,0,0,0,0,0,clasp
class,0,0,0,0,0,0,0,0,class
classic,0,0,0,0,0,0,0,0,classic
classical,0,0,0,0,0,0,0,0,classical
classics,0,0,0,0,1,0,0,0,classic
classification,0,0,0,0,0,0,0,0,classification
classify,0,0,0,0,0,0,0,0,classify
classmate,0,0,0,0,0,0,0,0,classmate
clatter,0,0,0,0,0,0,0,0,clatter
clause,0,0,0,0,0,0,0,0,clause
clauses,0,0,0,0,0,0,0,0,clause
claw,1,0,0,1,0,0,0,0,claw
claws,0,0,0,0,0,0,0,0,claw
clay,0,0,0,0,0,0,0,0,clay
clean,0,0,0,0,1,0,0,1,clean
cleaning,0,0,0,0,0,0,0,0,cleaning
cleanliness,0,0,0,0,0,0,0,0,cleanliness
cleanly,0,0,0,0,0,0,0,0,cleanly
cleanse,0,0,0,0,0,0,0,0,cleanse
cleansing,0,0,0,0,0,0,0,0,cleanse
clearance,0,0,0,0,0,0,0,1,clearance
clearing,0,0,0,0,0,0,0,0,clearing
clearness,0,0,0,0,0,0,0,0,clearness
cleavage,0,0,0,0,0,0,0,0,cleavage
cleave,0,0,0,1,0,0,0,0,cleave
clef,0,0,0,0,0,0,0,0,clef
cleft,0,0,0,0,0,0,0,0,cleft
clemency,0,0,0,0,0,0,0,0,clemency
clergy,0,0,0,0,0,0,0,0,clergy
clergyman,0,0,0,0,0,0,0,0,clergyman
clerical,0,0,0,0,0,0,0,1,clerical
clerk,0,0,0,0,0,0,0,0,clerk
clerkship,0,0,0,0,0,0,0,0,clerkship
clever,0,0,0,0,0,0,0,0,clever
cleverness,0,0,0,0,0,0,0,0,cleverness
click,0,0,0,0,0,0,0,0,click
client,0,0,0,0,0,0,0,0,client
clientele,0,0,0,0,0,0,0,0,clientele
cliff,0,0,0,1,0,0,0,0,cliff
climate,0,0,0,0,0,0,0,0,climate
climatology,0,0,0,0,0,0,0,0,climatology
climax,0,1,0,0,1,0,1,1,climax
climb,0,0,0,0,0,0,0,0,climb
cling,0,0,0,0,0,0,0,0,cling
clip,0,0,0,0,0,0,0,0,clip
clipper,0,0,0,0,0,0,0,0,clipper
clipping,0,0,0,0,0,0,0,0,clip
clique,0,0,0,0,0,0,0,0,clique
cloak,0,0,0,0,0,0,0,0,cloak
clock,0,1,0,0,0,0,0,0,clock
clockwork,0,0,0,0,0,0,0,0,clockwork
clog,0,0,0,0,0,0,0,0,clog
cloister,0,0,0,0,0,0,0,0,cloister
close,0,0,0,0,0,0,0,0,close
closed,0,0,0,0,0,0,0,0,close
closeness,0,0,0,0,1,0,0,1,closeness
closet,0,0,0,0,0,0,0,0,closet
closure,0,1,0,0,1,1,0,0,closure
clot,0,0,0,0,0,0,0,0,clot
cloth,0,0,0,0,0,0,0,0,cloth
clothe,0,0,0,0,0,0,0,0,clothe
clothes,0,0,0,0,0,0,0,0,clothes
clothesline,0,0,0,0,0,0,0,0,clothesline
clothing,0,0,0,0,0,0,0,0,clothing
cloud,0,0,0,0,0,0,0,0,cloud
clouded,0,0,0,0,0,1,0,0,cloud
cloudiness,0,0,0,1,0,0,0,0,cloudiness
cloudy,0,0,0,0,0,1,0,0,cloudy
clover,0,0,0,0,0,0,0,0,clover
cloves,0,0,0,0,0,0,0,0,clove
clown,0,1,0,0,1,0,1,0,clown
club,0,0,0,0,0,0,0,0,club
clubhouse,0,0,0,0,0,0,0,0,clubhouse
clubs,0,0,0,0,0,0,0,0,club
clue,0,1,0,0,0,0,0,0,clue
clump,0,0,0,0,0,0,0,0,clump
clumsy,0,0,1,0,0,0,0,0,clumsy
cluster,0,0,0,0,0,0,0,0,cluster
clutch,0,0,0,0,0,0,0,0,clutch
clutches,0,0,0,0,0,0,0,0,clutch
clutter,0,0,0,0,0,0,0,0,clutter
coach,0,0,0,0,0,0,0,1,coach
coagulation,0,0,0,0,0,0,0,0,coagulation
coal,0,0,0,0,0,0,0,0,coal
coalesce,0,0,0,0,0,0,0,1,coalesce
coalition,0,0,0,0,0,0,0,0,coalition
coast,0,0,0,0,0,0,0,0,coast
coastal,0,0,0,0,0,0,0,0,coastal
coaster,0,0,0,0,0,0,0,0,coaster
coat,0,0,0,0,0,0,0,0,coat
coating,0,0,0,0,0,0,0,0,coat
coax,0,0,0,0,0,0,0,1,coax
cobalt,0,0,0,0,0,0,0,0,cobalt
cobble,0,0,0,0,0,0,0,0,cobble
cobbler,0,0,0,0,0,0,0,0,cobbler
cobra,0,0,0,1,0,0,0,0,cobra
cocaine,0,0,0,0,0,1,0,0,cocaine
cock,0,0,0,0,0,0,0,0,cock
cockpit,0,0,0,0,0,0,0,0,cockpit
cocktail,0,0,0,0,0,0,0,0,cocktail
cocoa,0,0,0,0,0,0,0,0,cocoa
cocoon,0,0,0,0,0,0,0,0,cocoon
cod,0,0,0,0,0,0,0,0,cod
code,0,0,0,0,0,0,0,0,code
codex,0,0,0,0,0,0,0,0,codex
codification,0,0,0,0,0,0,0,0,codification
codify,0,0,0,0,0,0,0,0,codify
coefficient,0,0,0,0,0,0,0,0,coefficient
coerce,1,0,1,1,0,0,0,0,coerce
coercion,1,0,1,1,0,1,0,0,coercion
coercive,0,0,0,0,0,0,0,0,coercive
coexist,0,0,0,0,0,0,0,1,coexist
coexistence,0,0,0,0,0,0,0,0,coexistence
coexisting,0,0,0,0,0,0,0,1,coexist
coffee,0,0,0,0,0,0,0,0,coffee
coffin,0,0,0,1,0,1,0,0,coffin
cog,0,0,0,0,0,0,0,0,cog
cogent,0,0,0,0,0,0,0,1,cogent
cognate,0,0,0,0,0,0,0,0,cognate
cognition,0,0,0,0,0,0,0,0,cognition
cognitive,0,0,0,0,0,0,0,0,cognitive
cohabitation,0,0,0,0,0,0,0,0,cohabitation
coherence,0,0,0,0,0,0,0,0,coherence
coherent,0,0,0,0,0,0,0,0,coherent
cohesion,0,0,0,0,0,0,0,1,cohesion
cohesive,0,0,0,0,0,0,0,1,cohesive
cohort,0,0,0,0,0,0,0,0,cohort
coil,0,0,0,0,0,0,0,0,coil
coiled,0,0,0,0,0,0,0,0,coil
coin,0,0,0,0,0,0,0,0,coin
coinage,0,0,0,0,0,0,0,0,coinage
coincide,0,0,0,0,0,0,0,0,coincide
coincidence,0,0,0,0,0,0,1,0,coincidence
coincident,0,0,0,0,0,0,0,0,coincident
coinciding,0,0,0,0,0,0,0,0,coincide
coke,0,0,0,0,0,0,0,0,coke
cold,0,0,0,0,0,0,0,0,cold
coldly,0,0,0,0,0,0,0,0,coldly
coldness,1,0,1,1,0,1,0,0,coldness
colic,0,0,0,0,0,0,0,0,colic
collaborator,0,0,0,0,0,0,0,1,collaborator
collapse,0,0,1,1,0,1,0,0,collapse
collar,0,0,0,0,0,0,0,0,collar
collate,0,0,0,0,0,0,0,0,collate
collateral,0,0,0,0,0,0,0,1,collateral
collation,0,0,0,0,0,0,0,0,collation
colleague,0,0,0,0,0,0,0,0,colleague
collect,0,0,0,0,0,0,0,0,collect
collected,0,0,0,0,0,0,0,0,collect
collection,0,0,0,0,0,0,0,0,collection
collective,0,0,0,0,0,0,0,0,collective
collectively,0,0,0,0,0,0,0,1,collectively
collector,0,0,0,0,0,0,0,0,collector
college,0,0,0,0,0,0,0,0,college
collegiate,0,0,0,0,0,0,0,0,collegiate
collide,0,0,0,0,0,0,0,0,collide
collie,0,0,0,0,0,0,0,0,collie
collision,1,0,0,0,0,0,0,0,collision
collocation,0,0,0,0,0,0,0,0,collocation
colloquial,0,0,0,0,0,0,0,0,colloquial
collusion,1,0,1,1,0,1,0,0,collusion
colon,0,0,0,0,0,0,0,0,colon
colonel,0,0,0,0,0,0,0,1,colonel
colonial,0,0,0,0,0,0,0,0,colonial
colony,0,0,0,0,0,0,0,0,colony
colophon,0,0,0,0,0,0,0,0,colophon
color,0,0,0,0,0,0,0,0,color
coloration,0,0,0,0,0,0,0,0,coloration
colored,0,0,0,0,0,0,0,0,color
coloring,0,0,0,0,0,0,0,0,color
colorless,0,0,0,0,0,0,0,0,colorless
colors,0,0,0,0,0,0,0,0,color
colossal,0,0,0,0,0,0,0,0,colossal
colt,0,0,0,0,0,0,0,0,colt
column,0,0,0,0,0,0,0,0,column
columnar,0,0,0,0,0,0,0,0,columnar
coma,0,0,0,1,0,1,0,0,coma
comatose,0,0,0,1,0,1,0,0,comatose
comb,0,0,0,0,0,0,0,0,comb
combat,1,0,0,1,0,0,0,0,combat
combatant,1,0,0,1,0,0,0,0,combatant
combative,1,0,0,1,0,0,0,0,combative
combination,0,0,0,0,0,0,0,0,combination
combinatorial,0,0,0,0,0,0,0,0,combinatorial
combine,0,0,0,0,0,0,0,0,combine
combined,0,0,0,0,0,0,0,0,combine
combustible,0,0,0,0,0,0,0,0,combustible
combustion,0,0,0,0,0,0,0,0,combustion
comedy,0,0,0,0,0,0,0,0,comedy
comet,0,0,0,0,0,0,0,0,comet
comfort,0,1,0,0,1,0,0,1,comfort
comforter,0,0,0,0,0,0,0,0,comforter
comic,0,0,0,0,0,0,0,0,comic
comical,0,0,0,0,0,0,0,0,comical
coming,0,1,0,0,0,0,0,0,come
comma,0,0,0,0,0,0,0,0,comma
command,0,0,0,0,0,0,0,0,command
commandant,0,0,0,0,0,0,0,1,commandant
commander,0,0,0,0,0,0,0,0,commander
commanding,0,0,0,0,0,0,0,1,command
commemorate,0,1,0,0,1,1,0,0,commemorate
commemoration,0,1,0,0,1,0,0,0,commemoration
commemorative,0,1,0,0,0,0,0,0,commemorative
commence,0,0,0,0,0,0,0,0,commence
commend,0,0,0,0,0,0,0,0,commend
commendable,0,0,0,0,1,0,0,1,commendable
commensurate,0,0,0,0,0,0,0,0,commensurate
comment,0,0,0,0,0,0,0,0,comment
commentary,0,0,0,0,0,0,0,0,commentary
commentator,0,0,0,0,0,0,0,0,commentator
commerce,0,0,0,0,0,0,0,1,commerce
commercial,0,0,0,0,0,0,0,0,commercial
commissary,0,0,0,0,0,0,0,0,commissary
commission,0,0,0,0,0,0,0,1,commission
commissioner,0,0,0,0,0,0,0,0,commissioner
commit,0,0,0,0,0,0,0,0,commit
committal,0,0,0,0,0,1,0,0,committal
committed,0,0,0,0,0,0,0,1,commit
committee,0,0,0,0,0,0,0,1,committee
commodity,0,0,0,0,0,0,0,0,commodity
commodore,0,0,0,0,0,0,0,1,commodore
common,0,0,0,0,0,0,0,0,common
commonly,0,0,0,0,0,0,0,0,commonly
commonplace,0,1,0,0,0,0,0,1,commonplace
commons,0,0,0,0,0,0,0,0,common
commonwealth,0,0,0,0,0,0,0,1,commonwealth
commotion,1,0,0,0,0,0,0,0,commotion
commune,0,0,0,0,0,0,0,0,commune
communicable,0,0,0,0,0,0,0,0,communicable
communicate,0,0,0,0,0,0,0,1,communicate
communication,0,0,0,0,0,0,0,1,communication
communicative,0,0,0,0,0,0,0,0,communicative
communion,0,0,0,0,1,0,0,1,communion
communism,1,0,0,1,0,1,0,0,communism
communist,0,0,0,0,0,0,0,0,communist
community,0,0,0,0,0,0,0,0,community
commutation,0,0,0,0,0,0,0,0,commutation
commutative,0,0,0,0,0,0,0,0,commutative
commute,0,0,0,0,0,0,0,0,commute
commuter,0,0,0,0,0,0,0,0,commuter
compact,0,0,0,0,0,0,0,1,compact
compaction,0,0,0,0,0,0,0,0,compaction
compactness,0,0,0,0,0,0,0,0,compactness
companion,0,0,0,0,1,0,0,1,companion
companionship,0,0,0,0,0,0,0,0,companionship
company,0,0,0,0,0,0,0,0,company
comparable,0,0,0,0,0,0,0,0,comparable
comparative,0,0,0,0,0,0,0,0,comparative
comparatively,0,0,0,0,0,0,0,0,comparatively
comparison,0,0,0,0,0,0,0,0,comparison
compartment,0,0,0,0,0,0,0,0,compartment
compass,0,0,0,0,0,0,0,1,compass
compassion,0,0,0,1,0,0,0,0,compassion
compassionate,0,0,0,0,0,0,0,0,compassionate
compatibility,0,0,0,0,0,0,0,0,compatibility
compatible,0,0,0,0,0,0,0,0,compatible
compel,0,0,0,0,0,0,0,0,compel
compelled,0,0,0,0,0,0,0,0,compel
compelling,0,0,0,0,0,0,0,0,compelling
compendium,0,0,0,0,0,0,0,0,compendium
compensate,0,1,0,0,1,0,1,1,compensate
compensation,0,0,0,0,0,0,0,0,compensation
competence,0,0,0,0,0,0,0,1,competence
competency,0,0,0,0,0,0,0,1,competency
competent,0,0,0,0,0,0,0,1,competent
competition,0,1,0,0,0,0,0,0,competition
competitive,0,0,0,0,0,0,0,0,competitive
competitor,0,0,0,0,0,0,0,0,competitor
compilation,0,0,0,0,0,0,0,0,compilation
compile,0,0,0,0,0,0,0,0,compile
complacency,0,0,0,0,0,0,0,0,complacency
complacent,0,0,0,0,0,0,0,0,complacent
complain,1,0,0,0,0,1,0,0,complain
complaint,1,0,0,0,0,0,0,0,complaint
complement,0,1,0,0,1,0,1,1,complement
complementary,0,0,0,0,0,0,0,0,complementary
completed,0,0,0,0,0,0,0,0,complete
completely,0,0,0,0,0,0,0,0,completely
completeness,0,0,0,0,0,0,0,0,completeness
completing,0,1,0,0,1,0,0,0,complete
completion,0,1,0,0,1,0,0,0,completion
complex,0,0,0,0,0,0,0,0,complex
complexion,0,0,0,0,0,0,0,0,complexion
complexity,0,0,0,0,0,0,0,0,complexity
compliance,0,0,0,0,0,0,0,1,compliance
compliant,0,0,0,0,0,0,0,0,compliant
complicate,1,0,0,0,0,0,0,0,complicate
complicated,0,0,0,0,0,0,0,0,complicate
complication,0,0,0,0,0,0,0,0,complication
complicity,0,0,0,0,0,0,0,0,complicity
compliment,0,1,0,0,1,0,1,1,compliment
comply,0,0,0,0,0,0,0,0,comply
complying,0,0,0,0,0,0,0,0,comply
component,0,0,0,0,0,0,0,0,component
compose,0,0,0,0,0,0,0,0,compose
composed,0,0,0,0,0,0,0,0,compose
composer,0,0,0,0,0,0,0,0,composer
composite,0,0,0,0,0,0,0,0,composite
composition,0,0,0,0,0,0,0,0,composition
compost,0,0,1,0,0,0,0,0,compost
composure,0,0,0,0,0,0,0,0,composure
compound,0,0,0,0,0,0,0,0,compound
comprehend,0,0,0,0,0,0,0,0,comprehend
comprehension,0,0,0,0,0,0,0,0,comprehension
comprehensive,0,0,0,0,0,0,0,0,comprehensive
compress,1,0,0,0,0,0,0,0,compress
compressed,0,0,0,0,0,0,0,0,compress
compressible,0,0,0,0,0,0,0,0,compressible
compression,0,0,0,0,0,0,0,0,compression
comprise,0,0,0,0,0,0,0,0,comprise
compromise,0,0,0,0,0,0,0,0,compromise
comptroller,0,0,0,0,0,0,0,1,comptroller
compulsion,1,0,0,0,0,0,0,0,compulsion
compulsory,0,0,0,0,0,0,0,0,compulsory
computable,0,0,0,0,0,0,0,0,computable
computation,0,0,0,0,0,0,0,0,computation
compute,0,0,0,0,0,0,0,0,compute
computer,0,0,0,0,0,0,0,0,computer
comrade,0,0,0,0,0,0,0,1,comrade
con,0,0,0,0,0,0,0,0,con
concatenation,0,0,0,0,0,0,0,0,concatenation
concave,0,0,0,0,0,0,0,0,concave
conceal,0,0,0,0,0,1,0,0,conceal
concealed,0,1,0,1,0,0,1,0,conceal
concealment,1,1,0,1,0,0,0,0,concealment
conceit,0,0,0,0,0,0,0,0,conceit
conceited,0,0,0,0,0,0,0,0,conceited
conceivable,0,0,0,0,0,0,0,0,conceivable
concentrate,0,0,0,0,0,0,0,0,concentrate
concentration,0,0,0,0,0,0,0,0,concentration
concentric,0,0,0,0,0,0,0,0,concentric
conception,0,0,0,0,0,0,0,0,conception
concern,0,0,0,0,0,0,0,0,concern
concerned,0,0,0,1,0,1,0,0,concerned
concert,0,0,0,0,0,0,0,0,concert
concession,0,0,0,0,0,0,0,0,concession
concierge,0,0,0,0,0,0,0,0,concierge
conciliation,0,0,0,0,1,0,0,1,conciliation
concise,0,0,0,0,0,0,0,0,concise
conclave,0,0,0,0,0,0,0,0,conclave
conclude,0,0,0,0,0,0,0,0,conclude
concluding,0,0,0,0,0,0,0,0,conclude
conclusion,0,0,0,0,0,0,0,0,conclusion
concoction,0,0,0,0,0,0,0,0,concoction
concomitant,0,0,0,0,0,0,0,0,concomitant
concord,0,0,0,0,0,0,0,1,concord
concordance,0,0,0,0,0,0,0,1,concordance
concourse,0,0,0,0,0,0,0,0,concourse
concrete,0,0,0,0,0,0,0,0,concrete
concurrence,0,0,0,0,0,0,0,0,concurrence
concurrent,0,0,0,0,0,0,0,0,concurrent
concurring,0,0,0,0,0,0,0,0,concur
concussion,1,0,0,0,0,1,0,0,concussion
condemn,1,0,0,0,0,0,0,0,condemn
condemnation,1,1,1,1,0,1,0,0,condemnation
condensation,0,0,0,0,0,0,0,0,condensation
condensed,0,0,0,0,0,0,0,0,condense
condescending,0,0,0,0,0,0,0,0,condescend
condescension,1,0,1,0,0,1,0,0,condescension
condiment,0,0,0,0,0,0,0,0,condiment
condition,0,0,0,0,0,0,0,0,condition
conditional,0,0,0,0,0,0,0,0,conditional
conditionally,0,0,0,0,0,0,0,0,conditionally
conditioned,0,0,0,0,0,0,0,0,condition
conditions,0,0,0,0,0,0,0,0,condition
condolence,0,0,0,0,0,1,0,0,condolence
condone,0,0,0,0,0,0,0,0,condone
conducive,0,0,0,0,0,0,0,0,conducive
conduct,0,0,0,0,0,0,0,0,conduct
conduction,0,0,0,0,0,0,0,0,conduction
conductivity,0,0,0,0,0,0,0,0,conductivity
conductor,0,0,0,0,0,0,0,0,conductor
conduit,0,0,0,0,0,0,0,0,conduit
cone,0,0,0,0,0,0,0,0,cone
confederate,0,0,0,0,0,0,0,1,confederate
confederation,0,0,0,0,0,0,0,0,confederation
confer,0,0,0,0,0,0,0,0,confer
conference,0,0,0,0,0,0,0,0,conference
confess,0,0,0,0,0,0,0,1,confess
confession,0,1,0,1,0,1,1,0,confession
confessional,0,0,0,1,0,0,0,1,confessional
confessions,0,0,0,0,0,0,0,0,confession
confide,0,0,0,0,0,0,0,1,confide
confidence,0,0,0,1,1,0,0,1,confidence
confident,0,0,0,0,1,0,0,1,confident
confidential,0,0,0,0,0,0,0,1,confidential
confidentially,0,0,0,0,0,0,0,1,confidentially
configuration,0,0,0,0,0,0,0,0,configuration
confine,1,0,0,1,0,1,0,0,confine
confined,1,0,1,1,0,1,0,0,confine
confinement,1,0,0,1,0,1,0,0,confinement
confines,0,0,0,0,0,0,0,0,confines
confirm,0,0,0,0,0,0,0,0,confirm
confirmation,0,0,0,0,0,0,0,1,confirmation
confirmatory,0,0,0,0,0,0,0,0,confirmatory
confirmed,0,0,0,0,0,0,0,1,confirm
confiscate,1,0,0,0,0,1,0,0,confiscate
confiscation,0,0,0,0,0,0,0,0,confiscation
conflagration,1,0,0,1,0,0,0,0,conflagration
conflict,1,0,0,1,0,1,0,0,conflict
conflicting,0,0,0,0,0,0,0,0,conflict
confluence,0,0,0,0,0,0,0,0,confluence
conformance,0,0,0,0,0,0,0,0,conformance
conformation,0,0,0,0,0,0,0,0,conformation
conformity,0,0,0,0,0,0,0,1,conformity
confound,0,0,0,0,0,0,0,0,confound
confounded,0,0,0,0,0,0,0,0,confound
confront,1,0,0,0,0,0,0,0,confront
confuse,0,0,0,0,0,0,0,0,confuse
confusion,1,0,0,1,0,0,0,0,confusion
congenial,0,0,0,0,0,0,0,0,congenial
congenital,0,0,0,0,0,0,0,0,congenital
congestion,0,0,0,0,0,0,0,0,congestion
conglomerate,0,0,0,0,0,0,0,1,conglomerate
conglomeration,0,0,0,0,0,0,0,0,conglomeration
congratulatory,0,0,0,0,1,0,0,0,congratulatory
congregate,0,0,0,0,0,0,0,0,congregate
congregation,0,0,0,0,0,0,0,1,congregation
congress,0,0,1,0,0,0,0,1,congress
congressional,0,0,0,0,0,0,0,0,congressional
congressman,0,0,0,0,0,0,0,1,congressman
congruence,0,0,0,0,0,0,0,1,congruence
conic,0,0,0,0,0,0,0,0,conic
conical,0,0,0,0,0,0,0,0,conical
conjecture,0,1,0,0,0,0,0,0,conjecture
conjugal,0,0,0,0,0,0,0,0,conjugal
conjugate,0,0,0,0,0,0,0,0,conjugate
conjugation,0,0,0,0,0,0,0,0,conjugation
conjunction,0,0,0,0,0,0,0,0,conjunction
conjunctive,0,0,0,0,0,0,0,0,conjunctive
conjure,0,1,0,0,0,0,1,0,conjure
conjuring,0,0,0,0,0,0,0,0,conjure
connect,0,0,0,0,0,0,0,0,connect
connected,0,0,0,0,0,0,0,0,connect
connection,0,0,0,0,0,0,0,0,connection
connective,0,0,0,0,0,0,0,1,connective
connoisseur,0,0,0,0,1,0,0,1,connoisseur
conquer,0,0,0,0,0,0,0,0,conquer
conqueror,0,0,0,0,0,0,0,0,conqueror
conquest,1,0,0,1,0,0,0,0,conquest
conscience,0,0,0,0,0,0,0,1,conscience
conscientious,0,0,0,0,0,0,0,1,conscientious
consciousness,0,0,0,0,0,0,0,0,consciousness
conscription,0,0,0,0,0,0,0,0,conscription
consecration,0,1,0,0,1,1,0,1,consecration
consecutive,0,0,0,0,0,0,0,0,consecutive
consent,0,0,0,0,0,0,0,0,consent
consenting,0,0,0,0,0,0,0,0,consent
consequence,0,0,0,0,0,0,0,0,consequence
consequent,0,1,0,0,0,0,0,0,consequent
conservation,0,1,0,0,0,0,0,1,conservation
conservatism,0,0,0,0,0,0,0,0,conservatism
conservative,0,0,0,0,0,0,0,0,conservative
conservatory,0,0,0,0,0,0,0,0,conservatory
conserve,0,0,0,0,0,0,0,0,conserve
considerable,0,0,0,0,0,0,0,0,considerable
considerate,0,0,0,0,0,0,0,1,considerate
consignee,0,0,0,0,0,0,0,0,consignee
consignment,0,0,0,0,0,0,0,0,consignment
consistency,0,0,0,0,0,0,0,1,consistency
consistent,0,0,0,0,0,0,0,0,consistent
consolation,0,0,0,0,0,0,0,0,consolation
console,0,0,0,0,0,1,0,0,console
consolidate,0,0,0,0,0,0,0,0,consolidate
consolidation,0,0,0,0,0,0,0,0,consolidation
consonant,0,0,0,0,0,0,0,0,consonant
consort,0,0,0,0,0,0,0,1,consort
conspicuous,0,0,0,0,0,0,0,0,conspicuous
conspiracy,0,0,0,1,0,0,0,0,conspiracy
conspirator,1,1,1,1,0,0,0,0,conspirator
conspire,0,0,0,1,0,0,0,0,conspire
constable,0,0,0,0,0,0,0,1,constable
constancy,0,0,0,0,0,0,0,1,constancy
constant,0,0,0,0,0,0,0,1,constant
constantly,0,0,0,0,0,0,0,1,constantly
constellation,0,0,0,0,0,0,0,0,constellation
consternation,1,0,0,1,0,0,0,0,consternation
constipation,0,0,1,0,0,0,0,0,constipation
constituent,0,0,0,0,0,0,0,0,constituent
constituents,0,0,0,0,0,0,0,0,constituent
constitute,0,0,0,0,0,0,0,1,constitute
constitution,0,0,0,0,0,0,0,0,constitution
constitutional,0,0,0,0,0,0,0,1,constitutional
constrain,0,0,0,1,0,0,0,0,constrain
constrained,0,0,0,0,0,0,0,0,constrain
constraint,1,0,0,1,0,1,0,0,constraint
construct,0,0,0,0,0,0,0,0,construct
construction,0,0,0,0,0,0,0,0,construction
construe,0,0,0,0,0,0,0,0,construe
consul,0,0,0,0,0,0,0,1,consul
consult,0,0,0,0,0,0,0,1,consult
consultation,0,0,0,0,0,0,0,0,consultation
consume,0,0,0,0,0,0,0,0,consume
consuming,0,0,0,0,0,0,0,0,consume
consummate,0,0,0,0,0,0,0,0,consummate
consummation,0,0,0,0,0,0,0,0,consummation
consumption,0,0,0,0,0,0,0,0,consumption
contact,0,0,0,0,0,0,0,0,contact
contagion,0,1,1,1,0,0,0,0,contagion
contagious,0,0,1,1,0,0,0,0,contagious
containment,0,0,0,0,0,0,0,0,containment
contaminate,0,0,1,0,0,0,0,0,contaminate
contaminated,0,0,1,1,0,1,0,0,contaminate
contamination,0,0,1,0,0,0,0,0,contamination
contemplate,0,0,0,0,0,0,0,0,contemplate
contemplation,0,0,0,0,0,0,0,0,contemplation
contemplative,0,0,0,0,0,0,0,0,contemplative
contemporaneous,0,0,0,0,0,0,0,0,contemporaneous
contemporary,0,0,0,0,0,0,0,0,contemporary
contempt,1,0,1,1,0,0,0,0,contempt
contemptible,1,0,1,0,0,0,0,0,contemptible
contemptuous,1,0,0,0,0,0,0,0,contemptuous
contending,0,0,0,0,0,0,0,0,contend
content,0,0,0,0,1,0,0,1,content
contention,0,0,0,0,0,0,0,0,contention
contentious,1,0,1,1,0,0,0,0,contentious
contents,0,0,0,0,0,0,0,0,content
context,0,0,0,0,0,0,0,0,context
contiguous,0,0,0,0,0,0,0,0,contiguous
continence,0,0,0,0,0,0,0,0,continence
continent,0,0,0,0,0,0,0,0,continent
continental,0,0,0,0,0,0,0,0,continental
contingency,0,0,0,0,0,0,0,0,contingency
contingent,0,1,0,0,0,0,0,0,contingent
continual,0,0,0,0,0,0,0,0,continual
continually,0,0,0,0,0,0,0,0,continually
continuance,0,0,0,0,0,0,0,0,continuance
continuation,0,1,0,0,0,0,0,0,continuation
continue,0,1,0,0,0,0,0,1,continue
continued,0,0,0,0,0,0,0,0,continued
continuing,0,0,0,0,0,0,0,0,continue
continuity,0,0,0,0,0,0,0,0,continuity
continuous,0,0,0,0,0,0,0,0,continuous
continuously,0,0,0,0,0,0,0,0,continuously
contour,0,0,0,0,0,0,0,0,contour
contraband,1,0,1,1,0,0,0,0,contraband
contract,0,0,0,0,0,0,0,0,contract
contracted,0,0,0,0,0,0,0,0,contract
contractile,0,0,0,0,0,0,0,0,contractile
contracting,0,0,0,0,0,0,0,0,contract
contraction,0,0,0,0,0,0,0,0,contraction
contradict,1,0,0,0,0,0,0,0,contradict
contradiction,0,0,0,0,0,0,0,0,contradiction
contradictory,0,0,0,0,0,0,0,0,contradictory
contrary,0,0,0,0,0,0,0,0,contrary
contrast,0,0,0,0,0,0,0,0,contrast
contrasted,0,0,0,0,0,0,0,0,contrast
contravene,0,0,0,0,0,0,0,0,contravene
contravention,0,0,0,0,0,0,0,0,contravention
contribute,0,0,0,0,0,0,0,0,contribute
contributor,0,0,0,0,0,0,0,1,contributor
contrived,0,0,0,0,0,0,0,0,contrive
control,0,0,0,0,0,0,0,0,control
controversial,1,0,0,0,0,0,0,0,controversial
controversy,0,0,0,0,0,0,0,0,controversy
conundrum,0,0,0,0,0,0,0,0,conundrum
convalescent,0,0,0,0,0,0,0,0,convalescent
convection,0,0,0,0,0,0,0,0,convection
convene,0,0,0,0,0,0,0,0,convene
convenience,0,0,0,0,0,0,0,0,convenience
conveniences,0,0,0,0,0,0,0,0,convenience
convenient,0,0,0,0,0,0,0,0,convenient
convent,0,0,0,0,0,0,0,1,convent
convention,0,0,0,0,0,0,0,0,convention
conventional,0,0,0,0,0,0,0,0,conventional
converge,0,0,0,0,0,0,0,0,converge
convergence,0,1,0,0,0,0,0,0,convergence
convergent,0,0,0,0,0,0,0,0,convergent
conversant,0,0,0,0,0,0,0,0,conversant
conversation,0,0,0,0,0,0,0,0,conversation
conversational,0,0,0,0,0,0,0,0,conversational
converse,0,0,0,0,0,0,0,0,converse
